whisky_name,whisky_type,ratings,reviews_count,volume_alcohol_percentage,stock_flag,price,description,image_url,whisky_link,last_updated_at_UTC
Yoichi Single Malt,Japanese Single Malt Whisky,4.5,(8 Reviews),70cl / 45%,In Stock,£75.95,"Relaunched in 2016, this comes from Nikka's excellent Yoichi distillery. This is a blend of single malts from different years and consequently does not carry an age statement. This is a smoky whisky with a maritime character.",https://img.thewhiskyexchange.com/900/japan_yoi22.jpg,https://www.thewhiskyexchange.com/p/32761/yoichi-single-malt,06-Dec-2021 19:02:27
Yamazaki 12 Year Old,Japanese Single Malt Whisky,4.5,(91 Reviews),70cl / 43%,In Stock,£135,"One of the first Japanese single malts to break into the UK market, Suntory's Yamazaki 12 Year Old continues to impress with its well-balanced fruity sweetness, something that appeals to novice and experienced whisky drinkers alike.",https://img.thewhiskyexchange.com/900/japan_yam1.jpg,https://www.thewhiskyexchange.com/p/2940/yamazaki-12-year-old,06-Dec-2021 19:02:27
Karuizawa Spirit of Asama 48%,Japanese Single Malt Whisky,,,70cl / 48%,In Stock,"£1,750","A TWE exclusive release of Karuizawa, part of a vatting of 77 sherry casks bottled at 48% to produce a well rounded and affordable example of the distillery's character. The casks used for Spirit of Asama were filled in 1999 & 2000.",https://img.thewhiskyexchange.com/900/japan_asa1.jpg,https://www.thewhiskyexchange.com/p/18099/karuizawa-spirit-of-asama-48,06-Dec-2021 19:02:27
Chichibu 2010 Cask #1000,Japanese Single Malt Whisky,,,70cl / 62.2%,In Stock,"£3,250","A limited edition Japanese single malt from Chichibu, distilled in 2010 and matured in a single Mizunara oak hogshead, before being bottled in 2018 for Number One Drinks.",https://img.thewhiskyexchange.com/900/japan_chi2010.jpg,https://www.thewhiskyexchange.com/p/45906/chichibu-2010-cask-1000,06-Dec-2021 19:02:27
Miyagikyo Single Malt,Japanese Single Malt Whisky,4.5,(9 Reviews),70cl / 45%,In Stock,£75.95,"Nikka's entry-level whisky from Miyagikyo distillery. Light in body, yet full of flavour, this is an excellent introduction to Japanese whisky. Elegantly fruity with sherry-cask character.",https://img.thewhiskyexchange.com/900/japan_miy10.jpg,https://www.thewhiskyexchange.com/p/32762/miyagikyo-single-malt,06-Dec-2021 19:02:27
Ichiro's Malt Double Distilleries (46.5%),Japanese Blended Malt Whisky,4.5,(2 Reviews),70cl / 46.5%,In Stock,£115,"The newer, 46.5% version of a vatting of single malt from the Hanyu distillery built by Ichiro Akuto's grandfather with malt from the Chichibu distillery built nearby by Ichiro himself. A deliciously nutty dram.",https://img.thewhiskyexchange.com/900/japan_ich12.jpg,https://www.thewhiskyexchange.com/p/47669/ichiros-malt-double-distilleries-465,06-Dec-2021 19:02:27
Suntory Torys Classic,Japanese Blended Whisky,3.5,(2 Reviews),70cl / 37%,In Stock,£30.45,"Suntory Torys Classic is a light and easy-drinking Japanese spirit. Due to being below 40% abv, this cannot be called a whisky in the EU, but is still made from a blend of malt and grain.",https://img.thewhiskyexchange.com/900/japan_sun20.jpg,https://www.thewhiskyexchange.com/p/37325/suntory-torys-classic,06-Dec-2021 19:02:27
Yamazaki Mizunara Bot.2011,Japanese Single Malt Whisky,,,70cl / 48%,In Stock,"£5,000",,https://img.thewhiskyexchange.com/900/japan_yam58.jpg,https://www.thewhiskyexchange.com/p/56221/yamazaki-mizunara-bot2011,06-Dec-2021 19:02:27
Miyagikyo 12 Year Old,Japanese Single Malt Whisky,,,70cl / 40%,In Stock,£550,"Full-bodied, fruity and complex, with some sherry character, hints of toffee and some polished malt. Deservedly popular.",https://img.thewhiskyexchange.com/900/japan_miy2.jpg,https://www.thewhiskyexchange.com/p/2925/miyagikyo-12-year-old,06-Dec-2021 19:02:27
Hanyu 2000 Final Vintage 15 Year Old Ichiro's Malt,Japanese Single Malt Whisky,,,70cl / 46.5%,In Stock,"£1,750",A special release from Ichiro Akuto - a single cask bottling of whisky from the final year of Hanyu distiller's operation. Bottled at 15 years of age and at cask strength without colouring or chill-filtration. A little slice of distilling history.,https://img.thewhiskyexchange.com/900/japan_han2000v9.jpg,https://www.thewhiskyexchange.com/p/32591/hanyu-2000-final-vintage-15-year-old-ichiros-malt,06-Dec-2021 19:02:27
Hakushu 10 Year Old,Japanese Single Malt Whisky,5,(1 Review),70cl / 40.5%,In Stock,£375,"A younger expression of Hakushu, this well-mannered 10yo represents one of the gentlest introductions to the elegant, impeccably-constructed qualities of Japanese malt whisky.",https://img.thewhiskyexchange.com/900/japan_hak6.jpg,https://www.thewhiskyexchange.com/p/10132/hakushu-10-year-old,06-Dec-2021 19:02:27
