WhiskeyID,Title,Type,Stock Status,Description,Image Link,Details Link,Rating,Review Count,Volume (cl),Alcohol %,Price (£)
JW1000,Yoichi Single Malt,Japanese Single Malt Whisky,In Stock,"Relaunched in 2016, this comes from Nikka's excellent Yoichi distillery. This is a blend of single malts from different years and consequently does not carry an age statement. This is a smoky whisky with a maritime character.",https://img.thewhiskyexchange.com/900/japan_yoi22.jpg,https://www.thewhiskyexchange.com/p/32761/yoichi-single-malt,4.5,8,70,45.0,75.95
JW1001,Yamazaki 12 Year Old,Japanese Single Malt Whisky,In Stock,"One of the first Japanese single malts to break into the UK market, Suntory's Yamazaki 12 Year Old continues to impress with its well-balanced fruity sweetness, something that appeals to novice and experienced whisky drinkers alike.",https://img.thewhiskyexchange.com/900/japan_yam1.jpg,https://www.thewhiskyexchange.com/p/2940/yamazaki-12-year-old,4.5,91,70,43.0,135.0
JW1002,Karuizawa Spirit of Asama 48%,Japanese Single Malt Whisky,In Stock,"A TWE exclusive release of Karuizawa, part of a vatting of 77 sherry casks bottled at 48% to produce a well rounded and affordable example of the distillery's character. The casks used for Spirit of Asama were filled in 1999 & 2000.",https://img.thewhiskyexchange.com/900/japan_asa1.jpg,https://www.thewhiskyexchange.com/p/18099/karuizawa-spirit-of-asama-48,,,70,48.0,1750.0
JW1003,Chichibu 2010 Cask #1000,Japanese Single Malt Whisky,In Stock,"A limited edition Japanese single malt from Chichibu, distilled in 2010 and matured in a single Mizunara oak hogshead, before being bottled in 2018 for Number One Drinks.",https://img.thewhiskyexchange.com/900/japan_chi2010.jpg,https://www.thewhiskyexchange.com/p/45906/chichibu-2010-cask-1000,,,70,62.2,3250.0
JW1004,Miyagikyo Single Malt,Japanese Single Malt Whisky,In Stock,"Nikka's entry-level whisky from Miyagikyo distillery. Light in body, yet full of flavour, this is an excellent introduction to Japanese whisky. Elegantly fruity with sherry-cask character.",https://img.thewhiskyexchange.com/900/japan_miy10.jpg,https://www.thewhiskyexchange.com/p/32762/miyagikyo-single-malt,4.5,9,70,45.0,75.95
JW1005,Ichiro's Malt Double Distilleries (46.5%),Japanese Blended Malt Whisky,In Stock,"The newer, 46.5% version of a vatting of single malt from the Hanyu distillery built by Ichiro Akuto's grandfather with malt from the Chichibu distillery built nearby by Ichiro himself. A deliciously nutty dram.",https://img.thewhiskyexchange.com/900/japan_ich12.jpg,https://www.thewhiskyexchange.com/p/47669/ichiros-malt-double-distilleries-465,4.5,2,70,46.5,115.0
JW1006,Suntory Torys Classic,Japanese Blended Whisky,In Stock,"Suntory Torys Classic is a light and easy-drinking Japanese spirit. Due to being below 40% abv, this cannot be called a whisky in the EU, but is still made from a blend of malt and grain.",https://img.thewhiskyexchange.com/900/japan_sun20.jpg,https://www.thewhiskyexchange.com/p/37325/suntory-torys-classic,3.5,2,70,37.0,30.45
JW1007,Yamazaki Mizunara Bot.2011,Japanese Single Malt Whisky,In Stock,,https://img.thewhiskyexchange.com/900/japan_yam58.jpg,https://www.thewhiskyexchange.com/p/56221/yamazaki-mizunara-bot2011,,,70,48.0,5000.0
JW1008,Miyagikyo 12 Year Old,Japanese Single Malt Whisky,In Stock,"Full-bodied, fruity and complex, with some sherry character, hints of toffee and some polished malt. Deservedly popular.",https://img.thewhiskyexchange.com/900/japan_miy2.jpg,https://www.thewhiskyexchange.com/p/2925/miyagikyo-12-year-old,,,70,40.0,550.0
JW1009,Hanyu 2000 Final Vintage 15 Year Old Ichiro's Malt,Japanese Single Malt Whisky,In Stock,A special release from Ichiro Akuto - a single cask bottling of whisky from the final year of Hanyu distiller's operation. Bottled at 15 years of age and at cask strength without colouring or chill-filtration. A little slice of distilling history.,https://img.thewhiskyexchange.com/900/japan_han2000v9.jpg,https://www.thewhiskyexchange.com/p/32591/hanyu-2000-final-vintage-15-year-old-ichiros-malt,,,70,46.5,1750.0
